word	weight
ganjaran	-5
junjungan	-2
imut-imut	-1
seruh	-2
lurus hati	-1
lari-lari	-2
senyum	-1
seringai	-4
mengganjar	-3
panas hati	-5
keki	-4
jail	-4
lemot	-5
sayangnya	-3
menghukum	-3
bukannya	-3
disayang	-3
memberi	-2
membalas	-3
gemes	-2
sukarela	-2
kebiri	-4
berprasangka	-3
pahala	-1
pemudaan	-1
mohon	-2
terhenti	-3
erang	-4
manah	-2
mabok	-4
dipanggil	-1
mager	-4
kepedulian	-2
item	-4
rip	-5
membandungi	-1
haih	-4
muda	-2
tuhkan	-4
memperduakan	-3
regenerasi	-2
gubrisan	-2
pengindahan	-2
ribet	-4
master	-1
iri	-5
tetap hati	-1
tertanggung	-4
diapain	-3
kira	-2
pelita	-2
bernyali	-2
tangan panas	-4
merugi	-5
bernyali besar	-1
meninggal	-4
ngerjain	-2
puntung	-3
percuma	-4
percaya diri	-1
pikir	-2
merah	-3
nyali besar	-2
nekat	-4
njir	-3
dipaksa	-4
pembaiatan	-3
satria	-1
masak	-2
labil	-4
goreng	-2
antipati	-3
kontradiksi	-3
apalah	-2
ditinggal	-4
temenin	-3
kerumitan	-5
khilaf	-4
nihh	-3
selidik	-3
mewajibkan	-2
lagian	-3
negasi	-2
meh	-5
kota	-1
varian	-2
semi	-2
memperkeruh	-4
mencolong	-5
kekusutan	-4
rudapaksa	-4
telaah	-2
keruwetan	-4
sedihnya	-5
teledor	-5
hatiku	-2
kot	-1
terserah	-3
terlanjur	-3
cakep	-1
tergeleng-geleng	-3
sepertinya	-2
kagak	-3
tercengang	-2
permenungan	-3
cengang	-3
mencinta	-1
menyesal	-4
lumayan	-2
matanya	-2
berduka	-5
atraktif	-2
pamer	-3
pucat	-4
terpesona	-1
banjir	-4
takjub	-1
terpana	-2
bah	-3
terkesima	-1
menakjubkan	-1
memukau	-1
impas	-3
menakjubi	-1
bandang	-4
terpukau	-1
tiada	-5
rasisme	-5
memesonakan	-1
sirik	-5
mengherankan	-3
bersesal	-4
gapernah	-3
rapi	-2
bertanya-tanya	-3
penasaran	-3
tulus hati	-1
beton	-2
menunggui	-3
umpan	-3
cadas	-3
lembek	-4
hih	-4
menutup	-3
korban	-4
kurban	-3
sikit	-3
mengawal	-2
peduli	-1
bongkah	-2
bodoamat	-4
rela	-3
dengkik	-4
takda	-2
obat	-3
tetua	-2
error	-5
anugerah	-1
dongeng	-1
jir	-3
batas (waktu)	-3
impoten	-5
kiri	-3
perih	-4
babi	-4
habitat	-2
kenang-kenangan	-2
reka	-2
memejahijaukan	-4
persembahan	-2
penangguhan	-2
penyudah	-2
gebetan	-2
jutek	-5
ajal	-4
pengakuan	-3
gerombolan	-4
ora	-3
gatel	-3
ketajaman	-2
mencuru	-3
nongol	-2
barzakh	-4
menyidangkan	-3
pantes	-3
ngalah	-3
pejabat	-3
keganjilan	-4
ketidaktentuan	-5
menjaraki	-3
sad	-4
comeback	-2
udahan	-4
ugh	-4
acuh tak acuh	-3
next	-2
penutup	-3
menjenguk	-4
cuek	-5
sangkut-paut	-4
sayup	-3
ish	-4
doh	-4
pantat	-3
tebal telinga	-3
keanehan	-4
mengorek-ngorek	-4
diet	-3
syedih	-5
lugu	-2
interaksi	-2
berhala	-4
kesudahan	-3
iih	-5
tai	-5
kemaknagandaan	-3
masa bodoh	-4
final	-2
dimarahin	-5
nyuruh	-3
dibales	-3
persangkutan	-4
kampret	-5
beristirahat	-2
jin	-3
mikirin	-3
murtad	-5
mogok	-5
setan	-4
nyebut	-3
piye	-3
gusur	-5
drastis	-4
memojokkan	-4
mencengangkan	-3
penunggu	-2
demon	-3
durhaka	-5
super	-2
kesal	-5
iblis	-4
baperan	-4
ngikutin	-2
sebentar	-2
mengerikan	-4
hantu	-4
makhluk halus	-4
got	-3
diam	-3
bunuh	-5
siluman	-5
tumpahan hati	-3
momok	-4
berantem	-4
mangkas	-2
belain	-2
sundal bolong	-5
nahan	-3
sian	-3
jahil	-4
singgah	-2
bersekongkol	-4
life	-2
bidah	-3
menantang	-4
berselingkuh	-5
bergetar	-3
bohong	-5
classy	-2
peristiwa	-2
melumatkan	-4
insiden	-4
oon	-5
orok	-3
selingkuh	-5
nungguin	-2
bijih	-3
pelosot	-3
meremukkan	-4
keburu	-3
gadai	-3
meruntuhkan	-4
anjing	-4
naena	-2
jabang bayi	-3
membinasakan	-5
berdalih	-4
why	-2
modus	-3
waduh	-3
cuti	-2
bobrok	-5
tidurin	-2
cariin	-2
mengandut	-3
berdengung	-3
bakar	-3
mengganyang	-4
merusakkan	-4
menyelusur	-3
berkonspirasi	-4
kurus	-3
berantak	-4
bully	-5
berkomplot	-4
kejadian	-2
ngomongin	-3
stalk	-4
meruntuh	-4
jeriji	-4
memasuki	-3
sange	-5
berkongkalikong	-4
serong	-4
makian	-5
cemong	-4
kerasan	-2
kekurangan	-3
lilit	-3
hinaan	-5
penghinaan	-5
kurung	-3
mengecilkan	-3
cemooh	-5
malu	-4
mengumpat	-4
terabai	-3
mencemooh	-5
merem	-2
lock	-2
melecehkan	-5
kelemahan	-4
kejelekan	-5
ngilang	-3
berkerak	-2
kedaifan	-3
kehinaan keaiban	-4
kontras	-3
mengejek	-4
perang	-3
perundungan	-4
marahin	-4
berkelakar	-4
menyakiti	-5
penyepelean	-4
pait	-4
ngertiin	-3
kecabulan	-5
menjijikkan	-5
tuak	-3
tauu	-3
perbedaan	-2
terhina direndahkan	-3
menista	-4
memburukkan	-5
kroco	-4
mencela	-5
menyindir	-4
kebusukan	-5
kumuh	-4
terpalit-palit	-3
tersinggung	-5
terbesit	-2
bercengkerama	-2
bercumbu-cumbu	-3
cemeeh	-4
sekadar	-3
bernoda	-4
kebejatan	-5
mencibir	-5
terbiar	-3
rasa malu	-4
berolok-olok	-4
disakiti	-5
membenci	-5
berulah	-4
kekejian	-5
menggampangkan	-3
gausa	-3
kebobrokan	-4
nyebelin	-4
bermain-main	-2
bercumbuan	-3
cercaan	-4
mendaifkan	-4
ldr	-2
menangis	-5
genit	-3
mengerik	-3
lemes	-3
jahad	-4
taraf	-2
monyet	-3
astaghfirullah	-3
keletihan	-3
ketiduran	-3
gapaham	-4
capek	-4
kelamaan	-4
punah	-4
lesu	-4
ketinggalan	-3
apasi	-3
mampus	-5
keramat	-3
campur aduk	-2
ricuh	-4
soms	-4
stress	-5
kemayu	-3
mencangkum	-3
berlama-lama	-2
diginiin	-3
sihh	-2
yakali	-3
sakral	-2
ngenes	-4
bertendensi	-3
kalut	-3
mati	-5
lenguh	-4
jahanam	-5
gangerti	-3
gegara	-3
godain	-3
idiot	-5
ambigu	-3
utang	-4
sialan	-5
centil	-3
bacot	-4
mls	-4
kesunyian	-3
kebalik	-3
amoral	-3
membekas	-3
anti	-2
gabole	-2
simpanan	-3
ganggu	-4
sentimen	-3
berperang	-4
santunan	-2
kerelaan	-2
mulut	-1
boro	-2
kasam	-3
kepencet	-2
bantet	-3
sin	-1
kesumat	-4
bokek	-5
muncikari	-5
menipis	-3
asusila	-5
stop	-3
menciut	-3
bengkak hati	-3
kekosongan	-3
dendam	-5
gaenak	-3
susahnya	-3
mucikari	-5
maapkan	-3
vulgar	-3
ndut	-4
menurun	-3
kehilangan	-4
kecoa	-3
pokonya	-2
gituan	-3
ratapan	-3
kesepian	-4
pesan	-3
bergelanggang	-3
bersalah	-4
kampit	-1
menunggunya	-2
mendengu	-3
gaje	-3
sakitnya	-4
kesenjangan	-4
cedih	-3
menjauhkan	-4
jijik	-5
putus	-5
nyakitin	-5
ngadu	-3
najis	-4
kzl	-5
ego	-3
geli	-2
memaklumi	-2
kambing	-3
diblock	-4
crash	-4
menyampah	-4
maruk	-3
perangsang	-3
abaikan	-2
ninggalin	-4
otaknya	-2
mengerti	-2
renggang	-3
tewas	-5
amarah	-5
meradang	-4
melek	-2
kenal	-2
buangan	-4
nyangka	-3
dilupain	-4
kebo	-4
nyasar	-4
terungkap	-3
bocor	-4
terekspos	-4
mengusai	-2
pensiun	-3
dibully	-5
kontol	-5
mimpiin	-2
susila	-2
begadang	-3
eks	-3
mudarat	-5
delete	-3
cerewet	-5
berahi	-5
patah	-4
jerawat	-3
bawel	-4
pudar	-3
teganya	-4
menghilang	-3
hamburan	-3
rongsokan	-3
gairah	-2
mengasihi	-2
mencret	-4
mamam	-3
iluminasi	-3
selingkuhan	-5
jones	-3
banyak bicara	-3
hapus	-3
mantan	-3
iseng	-3
zakar	-3
air liur	-2
berengsek	-5
laporin	-3
pelecehan	-5
berenti	-3
syahwat	-2
tinggikan	-2
penat	-2
nyinyir	-4
bercerai-berai	-5
igau	-3
kenapasih	-3
nyesek	-4
rahasia	-2
anjay	-3
penyumbat	-3
letih	-3
ucek	-3
lelah	-3
gila	-5
tamat	-4
tersingkap	-3
konco	-3
balesnya	-2
pantesan	-2
erotis	-4
curi	-5
beperkara	-4
kutuk	-5
hilang ingatan	-4
anjuran	-2
bersitegang	-4
buah bibir	-2
teriak	-2
cegah	-2
mengerem	-2
tiri	-2
kerut merut	-3
rabies	-4
serapah	-4
berdiam	-3
menangkap	-3
emosi	-4
teriakan	-4
mengutil	-4
keteledoran	-4
menjarah	-4
menjarak	-3
paksa	-4
relung	-2
heula	-2
atut	-2
perpegangan	-2
congkel	-4
keinget	-2
sumpah	-3
membanding	-3
gempal	-2
menghambat	-3
menyakitkan	-4
asam	-2
mengaur	-3
traumatis	-4
pingsan	-3
latihan	-2
mengekang	-4
mencomot	-4
tembak-menembak	-5
ngamen	-3
tenggelem	-3
genangan	-2
menderita	-5
kasihan	-3
nyamuk	-1
berkeras hati	-3
dibuang	-3
bertunas	-2
bad	-4
menanggung	-2
gatal	-3
seram	-4
jleb	-3
mengotot	-4
pemisah	-3
idih	-3
memperbandingkan	-3
badung	-4
blokir	-3
perkutut	-3
ngeri	-4
egois	-5
kubang	-3
abg	-2
meninggi	-2
hama	-3
hambat	-4
digituin	-2
nyariin	-2
ngarep	-2
ngeluh	-4
sisa	-4
dimakan	-2
menggelapkan	-4
bolong	-3
awal	-2
merinding	-3
rinding	-3
tembam	-4
tersentuh	-2
kontaminasi	-4
hate	-5
dalem	-2
salahku	-4
kelembaman	-3
tempik	-4
tendang	-3
penghabisan	-3
desah	-3
cuekin	-3
pikun	-4
kelu	-3
tinggalkan	-3
miris	-4
primitif	-4
typonya	-3
berburu	-3
merampok	-5
ringkus	-5
membesar	-2
diketawain	-4
nyeri	-4
hack	-4
terminasi	-3
sedih	-5
henti	-4
melupai diri	-3
pengeluaran	-3
dikangenin	-2
gapuk	-3
membendung	-3
nyerah	-3
merebut	-3
edan	-3
jerit	-3
merampas	-4
nabrak	-4
menilap	-4
pekik	-5
ngiler	-3
maghrib	-2
mencatut	-3
sebab	-2
mencaplok	-3
rindunya	-2
meramalkan	-2
ingetin	-2
menggemparkan	-2
membopong	-3
seksi	-3
addict	-3
fail	-5
endus	-3
pendek	-2
kepindahan	-3
duet	-2
guram	-2
diusir	-4
tekanan mental	-4
menghirukkan	-4
mewek	-5
trauma	-5
unmood	-3
membekap	-3
ngerasain	-2
ejekan	-4
bajak	-4
memusingkan	-4
week	-4
menggodai	-3
gajih	-2
ketinggian	-2
bermohon	-2
bolos	-3
hiruk-pikuk	-3
pengguguran	-3
olok-olok	-5
terperengah	-3
mantannya	-3
mengumbar	-3
krg	-2
berkabut	-3
layuh	-3
kelainan	-4
unfollow	-2
risiko	-3
kedinginan	-3
ancaman	-4
batuk	-4
sembarangan	-4
ngadepin	-2
dalang	-3
menggegerkan	-3
mengacau	-4
pinggul	-3
tumben	-2
kurusuhan	-4
sindiran	-3
redup	-3
kentut	-2
mainin	-2
musuhan	-4
qada	-2
gabakal	-4
abu-abu	-2
hoax	-5
emergensi	-4
seenaknya	-4
muak	-5
mual	-5
memburu	-4
acak-acakan	-5
close	-2
menegur	-3
menyusahkan	-5
meributkan	-4
tbc	-3
shy	-3
mencemaskan	-3
paranormal	-2
merecoki	-3
demo	-3
lost	-3
gangguin	-3
melankolis	-2
kabut	-2
kabur	-2
protes	-3
melupakanmu	-3
mengusili	-3
jealous	-3
ketularan	-4
grogi	-4
keburukan	-5
batuk kering	-3
berpasrah	-2
tauk	-3
mengganggu	-4
tersengal-sengal	-4
kejut	-3
gelegak	-3
malapateka	-3
debar	-3
menghebohkan	-3
membolos	-3
kegedean	-2
muram	-4
sotoy	-4
ampuni	-2
derai	-3
nyalahin	-4
mafia	-5
sesambat	-3
benci	-5
enek	-4
gaakan	-2
keterlaluan	-5
penutupan	-2
terkapah-kapah	-2
kecelakaan	-5
menjahili	-3
menggerecoki	-4
kolera	-4
ganjal	-3
guncangan	-2
tandanya	-2
sogok	-4
penyimpangan	-4
bhay	-3
bersimbah	-3
saum	-2
cacing karawit	-3
ringkas	-2
yalord	-2
cemeti dewa	-2
nyesal	-4
narkotika	-4
syedi	-4
standar	-2
bangett	-2
beud	-2
gagah	-1
cabean	-3
tiduran	-2
menyunu	-2
senengnya	-1
kuyup	-3
mengalami	-3
berkelir	-3
berhati-hati	-2
menata	-2
gundik	-2
terluka	-5
belia	-2
albumnya	-2
comel	-1
kesibukan	-3
mengasuh	-2
alah	-4
hadeh	-4
seenak	-4
udeh	-3
tergeluncur	-3
remaja	-2
akuan	-3
image	-2
bawain	-3
puasa	-2
berkerut	-2
cacing jantung	-4
cacing ginjal	-4
brutal	-5
hamster	-3
diajarin	-3
luda	-3
giniin	-2
menyuap	-3
tetiba	-3
beginian	-3
menebat	-3
menebak	-2
amatin	-2
diliatin	-3
kemiripan	-2
cacing gilig	-4
memperapikan	-2
senonoh	-5
garuk	-3
bisain	-2
timang	-1
insane	-4
sambel	-2
gjd	-3
kemaluan	-3
kualat	-4
terselulur	-2
penyakit	-4
memangnya	-2
gersang	-3
ditolak	-4
menjilat-jilat	-2
jahatin	-3
cacing hati	-2
babu	-5
mengabaikan	-3
menyedihkan	-4
menimpa	-3
guncang	-3
kontroversi	-4
mblo	-3
bagaimana pun	-2
gakuat	-3
poor	-4
mata-mata	-3
kenapaaa	-3
pikulan	-2
lau	-2
tergelicik	-3
menjilat	-3
selir	-4
yaoi	-5
ngidam	-2
napsu	-3
zalim	-5
tergelingsir	-3
bau kencur	-4
alergi	-3
kodok	-2
drop	-3
sedikit-dikitnya	-3
xx	-1
belikan	-1
menyundut	-3
pengangguran	-4
pataka	-3
menyepelekan	-4
berkurang	-3
siapanya	-2
mahh	-3
gamungkin	-3
matiin	-2
perbantahan	-3
nape	-3
selagi	-2
lagak	-2
cacing gila	-4
eek	-5
malesin	-4
anak bawang	-2
dinistain	-4
yahhh	-3
meloloh	-3
persekongkolan	-3
bokep	-5
jahatnya	-4
seksologis	-2
claim	-3
candu	-3
mumpung	-3
cemberut	-4
lepek	-4
jangann	-3
gilak	-4
tergulir	-3
boros	-5
pengganti	-3
berair	-1
jujur	-1
akumah	-3
goodbye	-3
meski	-2
meskipun	-2
semena	-3
memanas-manasi	-3
curcol	-3
merajam	-5
kenyataannya	-2
keparat	-5
linggis	-4
menghanguskan	-3
kepleset	-4
badmood	-4
die	-4
malak	-4
indikasi	-2
kesiannya	-4
denyut	-2
terpeleset	-4
terselusur	-3
ihhhh	-3
bobroq	-4
tuyul	-4
meremehkan	-5
digantung	-3
ketaatan	-1
intrik	-3
pdhal	-2
kerat	-1
raiso	-3
excited	-1
terguling	-3
ketewasan	-3
dibalik	-3
gangsar	-3
berkemas-kemas	-2
mencari	-3
menyusut	-2
becek	-4
yaudh	-3
jaat	-3
luluh	-3
tersohor	-1
rentan	-4
iyasih	-2
rusak binasa	-4
menyebelahkan	-5
anjer	-3
alat vital	-2
gibah	-3
aurat	-2
rasain	-3
alat kelamin	-3
perkomplotan	-4
alangkah	-2
pgen	-1
kutu busuk	-4
makelar	-3
manuver	-3
getir	-4
memek	-5
kalah	-4
tekanan	-3
mengawasi	-2
ngesot	-2
mengidamkan	-2
sudahlah	-3
mengesampingkan	-4
tergelecik	-4
dilarang	-3
mainstream	-3
iyak	-2
pahit	-3
cacing tambang	-2
seperti	-1
bertolak	-2
bini gelap	-5
nyolong	-4
perebutan	-3
ulah	-3
mengompori	-4
yaahh	-3
jangankan	-3
lieur	-3
kena	-3
menghempaskan	-4
mengharap	-3
dahh	-3
karin	-2
gblk	-4
tembakau	-3
kerjain	-3
suspend	-3
mayat	-4
eksplisit	-2
buah simalakama	-3
biarkan	-3
salah langkah	-3
mumet	-4
debu	-3
itunya	-2
melipur	-3
lap kaki	-2
pedes	-2
jera	-3
begak	-3
tercela	-4
alone	-3
muntahan	-4
bercelah	-3
menghisap	-1
segitunya	-3
dingin	-2
membidikkan	-2
stalking	-4
naudzubillah	-5
keling	-3
susuk	-4
kencing	-3
awan kelabu	-3
gemuruh	-3
fresh	-2
semata-mata	-2
ngeden	-2
sensi	-4
menjambret	-5
bermutu	-1
jauhin	-3
rupawan	-1
lucunya	-2
kejedot	-4
sukar	-4
umpatan	-4
tersangkut	-3
nyontek	-5
teguran	-3
rombak	-2
kecemerlangan	-1
tersiksa	-5
dibeliin	-1
sedihhh	-5
bersedih	-5
bongkar	-3
ngarti	-3
mencucut	-3
hutang	-5
gbs	-2
disalahin	-3
incess	-3
kabeh	-2
irit	-2
kabar angin	-3
angkot	-1
problem	-4
yampun	-3
kesurupan	-5
komat-kamit	-3
manis	-2
teror	-5
pundung	-4
jadul	-3
tersungkap	-3
lengket	-2
injek	-3
melarat	-4
tanah tandus	-3
dobrak	-4
menyayat	-4
kesedihan	-5
meretek	-3
coplok	-3
mengempaskan	-3
terror	-5
menyandingkan	-2
ketakutan	-4
kejepit	-4
muskil	-2
aahh	-3
kedukaan	-4
kurungan	-4
memungut	-2
